file,begin,end,speaker,overall_log_likelihood,speech_log_likelihood,phone_duration_deviation,snr
nep_3614_4961954363,0.0,8.373,mfa_input,-50.24209416069295,-51.497273445129395,5.382628540671169,6.722625129341413
nep_0546_6379008467,0.0,4.413666666666667,mfa_input,-46.892356682256235,-47.742159586686356,5.382628540671169,11.149854300416827
nep_3614_7238439232,0.0,7.017333333333333,mfa_input,-47.4626235309829,-48.1526863967316,5.382621138726614,10.242209437222332
nep_6834_4282359735,0.0,12.468333333333334,mfa_input,-49.127396376303125,-49.64963956464801,5.382619288240475,5.167271827209177
nep_0546_1506025460,0.0,4.704,mfa_input,-39.34361286569149,-37.64129069873265,5.382619288240475,18.673007966923883
nep_0546_0738896302,0.0,7.6113333333333335,mfa_input,-50.47902636333772,-50.6784613886966,5.3826137367820595,6.83586578266212
nep_3614_6012742334,0.0,5.369,mfa_input,-50.894036603817504,-53.640985582695635,5.3826137367820595,3.9990688311506286
nep_3997_4606029641,0.0,5.713333333333333,mfa_input,-46.62178127736427,-49.654334049598845,5.3826137367820595,3.3051274514288718
nep_2099_1652297885,0.0,6.616333333333333,mfa_input,-44.60168051359516,-46.45035688082377,5.3826137367820595,3.7278075134510544
nep_2139_4605077745,0.0,4.637666666666667,mfa_input,-46.093455347521555,-46.86636734008789,5.3826137367820595,8.776129728237184
nep_6834_6392881485,0.0,6.902666666666667,mfa_input,-50.643280117753626,-52.13190120458603,5.3826137367820595,8.95910302950071
nep_3614_3085751946,0.0,5.824666666666666,mfa_input,-50.28747181056701,-51.4260948844578,5.3826137367820595,10.897296804090363
nep_3614_4053914263,0.0,3.808,mfa_input,-47.29084645669291,-49.10674100603376,5.3826137367820595,13.62358383041015
nep_0546_7146910945,0.0,2.1053333333333333,mfa_input,-47.03203680390995,-48.20224571228027,5.3826137367820595,14.978375211392137
nep_6834_4212828810,0.0,8.549333333333333,mfa_input,-49.84621710526316,-53.309470019763026,5.3826137367820595,5.816449329191126
